file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
src/app/pages/expert-profile/expert-profile.html,src/app/pages/expert-profile/expert-profile.html,2025-12-04T11:54:36-03:00,2025-12-11T08:57:02-03:00,3,3,1,0.00,
src/app/pages/expert-profile/expert-profile.scss,src/app/pages/expert-profile/expert-profile.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/expert-profile/expert-profile.ts,src/app/pages/expert-profile/expert-profile.ts,2025-12-04T11:54:36-03:00,2025-12-11T08:57:02-03:00,3,3,1,0.00,
src/app/pages/forgot-password/forgot-password.html,src/app/pages/forgot-password/forgot-password.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/forgot-password/forgot-password.scss,src/app/pages/forgot-password/forgot-password.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/forgot-password/forgot-password.ts,src/app/pages/forgot-password/forgot-password.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/home/home.html,src/app/pages/home/home.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/home/home.scss,src/app/pages/home/home.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/home/home.ts,src/app/pages/home/home.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/login/login.html,src/app/pages/login/login.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/login/login.scss,src/app/pages/login/login.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/login/login.ts,src/app/pages/login/login.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/register-expert/register-expert.html,src/app/pages/register-expert/register-expert.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/register-expert/register-expert.scss,src/app/pages/register-expert/register-expert.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/register-expert/register-expert.ts,src/app/pages/register-expert/register-expert.ts,2025-12-04T11:54:36-03:00,2025-12-04T13:16:04-03:00,2,2,1,0.00,
src/app/pages/register/register.html,src/app/pages/register/register.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
